2025-02-10T08:13:15.681437,SAV001,500.00
2025-02-10T08:13:15.681748,CHK001,-300.00
2025-02-10T14:55:09.998089,SAV001,500.00
2025-02-10T14:55:09.998477,CHK001,-300.00
2025-02-17T08:06:07.563651300,SAV001,500.00
2025-02-17T08:06:07.566653700,CHK001,-300.00
2025-02-19T10:37:59.400698400,SAV001,500.00
2025-02-19T10:37:59.404702500,CHK001,-300.00
2025-02-19T13:16:30.025939900,SAV001,500.00
2025-02-19T13:16:30.028943200,CHK001,-300.00
2025-02-19T13:18:00.859168900,SAV001,500.00
2025-02-19T13:18:00.862170700,CHK001,-300.00
2025-02-19T14:15:58.708086400,SAV001,500.00
2025-02-19T14:15:58.712089900,CHK001,-300.00
